id_avis,date,note_avis,commentaire,id_resto,nom_resto,type_cuisine,fourchette_prix,adresse,note_moyenne_resto,description,arrondissement,latitude,longitude,taux_menage_imposable,mediane_niveau_de_vie,taux_pauvrete,min_prix,max_prix
16,févr. 2023,4.0,avis crêperie amélie situer confluence juste -dessus moyenne devoir dire très bon surprise très bien accueillir vers h. crêpe succulente chaude copieux cadre agréable point important température agréable malgré froid ambier raison bon note,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
17,janv. 2023,5.0,endroit très chaleureux produit local très bon qualité service rapide crêpe galette copieur recommander,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
18,déc. 2022,5.0,très bon crêpe varier sans gluten plus choix nuteller vrai chocolat maison personnel efficace agréable souriant reviendra plaisir,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
19,déc. 2022,4.0,ce crêperie devenir adresse rituel lorsque fille aller cinéma toujours bien recevoir cadre agréable service sympathique relativement efficace galette crêpe savoureuser plutôt bien garni conseill tout celui chercher adresse déjeuner diner lors sortie confluenc,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
20,août 2022,1.0,venir manger crêpe entrer amie après quelque minute souris passer entrer jambe changer tabl éloigner signalé nuisible serveuse sembler très préoccupé rien faire régler problème souris salle forcément cuisine donc restaurer éviter,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
21,mai 2022,2.0,bonjour venir tester crêperie hier midi crêpe horriblemer cher rien galett breton sembler bretagne assiette fuir,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
22,avr. 2022,1.0,plus gérant rien fair plus part formation bretagne franchement très désagréable,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
23,avr. 2022,1.0,galett presque € ressembler napperon broder aucun matière galett meme entiere pauvre rondelle chevre honteux servir sans parler pancake gout texture pire celui grand surface ressortir faim contrepartie gerant faire remise € galette preferer faire moitié prix tellement rien manger conseill ce creperie eter long bon devoir revoir produit chef cuisine honte,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
24,mars 2022,2.0,premier dernier essai ce crêperie deux crêpe testée kinder bueno nuteller qualité spécialement attendre attendre kinder bueno intégré crêpe final agir crêpe très banal nuteller barre kinder bueno cassé deux dessus bref complètement inutile doit- rappeler kinder bueno deux barre + euro crêpe quand pomme caramel pomme cuite morceau ressemblant plus épluchure autre chose concerner pâter crêpe assiette seul trouver satisfait quant- reste prendre ther deux tasse remplie moitié service quoi sympathique spécialemer génial autant très propre conclusion repartir déçu reviendron,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
25,janv. 2022,1.0,très mauvais expérience crêpe bcp trop cuite garniture réchauffer insipide cahoutchouteus accueil plutôt correct suffire faire apprécier lieu éviter être décevoir,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
