,Date,Notes,Commentaires
25,nov. 2023,"4,0",Au cœur des Halles. Magnifique joue de bœuf confite accompagnée d'une purée remplie de beurre... Personnel aux petits soins. What else? 
26,sept. 2023,"5,0","Une bière du coin,  un coca,  des rillettes, des os à moelle, 2 T bone de cochon du cantal et un verre de Bourgogne pour un total de 84euros. Je n'avais absolument jamais entendu parler de ce restaurant. 
La viande est extra, les légumes, les pommes grenaille et le service aussi. Tout est très bon,  nous sommes repartis avec un doggy bag pour la rillette. La part était énorme.  Le pain est à l'ancienne et très bon. Deux  bemols, très peu de choix pour les vins au verre et restaurant très bruyant. Mais l'ambiance y est.  J'ai été ravie de découvrir cette enseigne. "
27,sept. 2023,"1,0","Hors de prix 
C’est hors de prix pour une cote de bœuf leur prix au kilo c’est une grosse arnaque on ne sait pas combien ca va couter !
et leur carte des vins les prix sont délirants"
28,août 2023,"3,0",Très bon mais a 90€ par personne sans apéritif ni dessert c’est quand même la moindre de choses. On peut largement manger à qualité égale pour la moitié de ce prix
29,août 2023,"3,0","J’ai fait des dizaines de restos gastro et la, pour la première fois , j’en ai eu pour 100 euros. C’était bon, la viande était bonne mais il y a la même qualité voire mieux à Lyon pour moins cher !!! Bien bien trop cher et les accompagnements ne sont pas à la hauteur ! Ce resto jouit de la réputation de la chaîne et des influenceurs mais il y a bien mieux sur Lyon"
30,juil. 2023,"5,0","Diner prit le soir avant la fermeture estivale 
Tout était excellent des entrées au dessert, idem pour le vin qui avait justement choisi par le sommelier.
Une agréable soirée dans un lieu sans prise de tête ou l'équipe est à votre attention"
31,mai 2023,"3,0","Très bon accueil 
Serveurs gentils et professionnels
Très bonne viande 
Bémol : c’est trop cher même si c’est bon"
32,juil. 2023,"3,0","Très déçu ! 
Rapport qualité prix a revoir 15 euro la tranche de pâté croute (très bonne) ça fait mal , mes ris de veau généreux et bon mais il faut encore rajouter 5 euro pour avoir une purée en accompagnement bref 96 euro pour 1 tranche de paté croute 2 plats 1 purée 2 dessert 2 café 1 bouteille d'eau gazeuse et 1 verre de vin . Ont paye le nom et l'endroit perso je m'attendait a beaucoup mieux . Vincent et Arthur je les suit sur facebook je me faisait une joie de découvrir un resto Gueuleton et bien au final très déçu ,Dommage"
33,juin 2023,"3,0","Très bonne viande mais prix injustifié 
Peu de dessert 
Personnel sympa 
Il vaut mieux manger sa côte de bœuf à la maison………….."
34,juin 2023,"4,0","Endroit très sympathique avec des serveurs très proches des clients et un accueil très travaillé 
La viande ( c est pour cela qu on vient) est bonne - tout le repas s est bien déroulé. 
La note est par contre exagérée ! On mange pour le même prix dans un étoilé. 
Contents  d être venus mais nous ne reviendrons pas à cause du prix. "
35,juin 2023,"4,0","Alors, pour les grands amateurs de très bonne viandes, bref, pour les viandards, c'est ici qu'il faut venir !
La qualité de la viande est exceptionnelle. 
Et il y a du choix. Que ce soit en viande française, mais aussi étrangère.
Le tout servi avec des grenailles (nous on appelle cela des rates) et des légumes braisés, et arrosé d'un bon vin du Domaine Voilot-Guilemard.
J'oubliais, notre choix c'est porté sur une viande bien persillé Allemande : Simmental. Un véritable régal !!!
Un très bon accueil, une très bonne présentation des pièces de bœufs, un jeune sommelier qui a su bien présenter son vin.
Le seul bémol : l'attente entre la commande et l'arrivée du plat !"
