,Date,Notes,Commentaires
24,sept. 2023,"1,0","Inamissible! nous sommes venu à 13 personnes pour un anniversaire, nous avions réservé pour 21h45. 
Premièrement nous étions en avance et nous ne sommes rentrés qu’à 22h15. 
Une de nos amies est parti avant et est allé encaisser avant nous sauf que le serveur lui a fait payer la part d’une autre table donc au moment de notre addition il manquait le plat et la boisson de cette fameuse amie donc le manager du restaurant nous a quand même fait payer sa part alors qu’elle avait déjà réglé en partant, il ne s’est pas excusé, nous avons dit que ce n’est pas professionnel et il nous a dit, je cite: « d’abord retourner à l’école et on verra après » car nous sommes un groupe de jeunes. 
Tout simplement exécrable 
Je ne recommande pas 
Ce n’est vraiment pas commerçant "
25,août 2023,"5,0","Très belle salle,personnel très sympa.et le plus important : qualité excellente ,tapas originaux .je recommande particulièrement la pizza buffala/ truffe."
26,juin 2023,"2,0","C'est cher, c'est très cher mais c'est charmant, un cadre agréable avec de jolies serviettes brodées ce qui est de plus en plus rare et chic.

Par contre la qualité n'est pas au rendez-vous. Plus de 20 € pour des pizzas avec une pâte bien trop cuite, impossible à découper.

Service sympa et efficace.

Au final un restaurant moins bien que beaucoup d'autres, loin des standards du quartier mais beaucoup plus cher. 

Nous avons essayé. Nous passerons notre tour la prochaine fois."
27,juin 2023,"2,0","Décors en roses plastiques  et tissus , un service jeune et dynamique , une pizza sèche, difficile à couper et sans goût  . Un bilan décevant autant pour les pupilles que les papilles . Passez votre chemin si vous cherchez une bonne pizza ."
28,juin 2023,"2,0","Très Décevant ! 1h15 d’attente pour avoir au final des pizzas à peine tièdes ! Pizza à la truffe , je cherche encore le goût de la Truffe ! Tout est dans le décor au demeurant très sympathique et attirant mais la qualité des produits est médiocre et les pizzas quelconques. Bref passez votre chemin il y a d’autres resto italiens bien meilleurs et moins chers dans le quartier !"
29,juin 2023,"5,0",Excellente cuisine italienne  notamment les pâtes très bien préparées . Servie. De qualité avec accueil sympathique . On reviendra avec plaisir
30,mai 2023,"2,0","Livraison de 2 pizzas hier soir
Attente de 20 minutes à la commande et livraison au bout de 45 minutes  (pas très grave)
La surprise fut le contenu des pizzas c'est à dire presque rien, enfin si, de la pâte et encore de la pâte.
J'ai pas l'habitude d'inscrire un commentaire mais là je trouve quand même que c'est un foutage de gueule !!!"
31,mars 2023,"4,0","La cadre du restaurant est plutôt sympa
On a été placé à l’entrée, un peu trop près de la table d’à côté 
Le service est très agréable et rapide
Les plats sont ultra copieux et de qualité
L’addition un peu salée quand même"
32,mars 2023,"1,0","Vraiment pas terrible… chère et loin d’être une bonne adresse ! Les pizzas pas goût, le carpaccio pas bon et le poulpe grillé trop grillé bref à éviter "
33,mars 2023,"3,0","Lieu sympa mais sur côté. 
Tarif élevé pour le peu qu’il y a dans l assiette et dans le verre 
La pâte à pizza est bonne mais rien de transcendant et qui pourrait justifier le prix
Serveurs tres sympas, équipe jeune et dynamique."
34,févr. 2023,"3,0","Nous avons décidé de venir chez Nano pour se faire un avis, entre amis. 

Nous avons donc réservé. 
Une fois sur place , vendredi soir, du monde de partout à l’entrée, nous comprenons que l’organisation n’est pas le point fort de ces jeunes salariés ( sans discrimination bien sur). 
30 min de retard pour notre table, pour une première chez Nano , ça commence moyen… 

Belle table ronde pour 6 personnes , point positif. 
La carte entre les mains nous constatons les prix très élevés même si vous êtes situés en plein Lyon 6 mais laissons leur une chance…
Diverses entrées entre amis à partager avec deux belles bouteilles et pizza et pâtes. 
Le vin arrive très froid , dommage pour les arômes….
Les entrées, avis mitigé ( petites portions pour prix élevé). 
La pâte à pizza est bonne , la garniture aussi. 
Les pâtes Ammatriciana sont composés que de gras , pas un morceau de viande … 

Le service est jeune et se ressent , un peu plus d’expérience et de respect envers les clients ne ferait pas de mal. 

Lieu à la mode certes mais à ce prix là dans le 6eme , les gens ne se feront pas avoir deux fois.  

Si vous cherchez un voyage en Italie autant aller chez magnagati à quelques pas"
35,févr. 2023,"2,0","Déco un peu toc (fleurs en papier sur les murs, canapés roses, vaisselle ébréchée, porte coulissante absolument pas dans le style mais dans le courant d'air, ça oui....), manager excité qui vocifère sur son équipe, service pas attentionné, carpaccio sans garniture, pizzas sympas mais chères et servies froides... on l'aura compris, c'est nouveau, ça se veut tout beau... mais c'est cheap... dommage"
36,févr. 2023,"5,0",accueil absolument charmant / décoration assez sympa et la qualité des plats parmi les meilleurs pizzas de la ville
