,Date,Notes,Commentaires
0,oct. 2024,"1,0","Mexicano c’est juste le nom!
Il n’y a rien de mexicain dans les assiettes. Et je sais de quoi je parle vu mes origines. 
J’ai pris mal à la tête et au bide. J’ai goûté à tout mais je n’ai pas pu mangé car c’était un supplice. Une soirée entre filles gâchée par ce pseudo restaurant mexicain qui nous sert des plats ou plutôt des apéros mal fait.
C’est pas bon du tout, vraiment pas bon. Plats beaucoup trop trop réchauffés et secs avec beaucoup trop de fromage gratiné. Des chips de tortillas industrielles à tout bas. Des tortillas tout droit venues du supermarché recouvertes de fromage. La serveuse antipathique et pas sympathique. Limite on l’embête. 
De la salle on voit la cuisine et on voit les cuisinières ou réchauffeuses de plats avec leurs téléphones. 
Très cher payé pour avoir une indigestion. 
Je mets 1/5 car impossible d’enregistrer mon commentaire à 0. Mais ce pseudo restaurant mérite moins de 0."
1,juil. 2024,"5,0","Très bon repas, venus à 7, le personnel nous à proposer un mélange d entrées et de plats. Le tout était très bon. Service impeccable et à l écoute du client. Nous avons passer une très bonne soirée."
2,juil. 2024,"1,0","Aaahhh un bon mexicain à découvrir ! Super… Allez une tequila ou une Maragrita en apéro….
…. Ah ben non « pas de tequila »
Une corona alors ?…
… Ah non « pas de bière » ! 
Du vin ? 
….. ah non désolé « on a que des sodas » bien chimique…
Bref, rien à voir avec les promesses. Et pas de vrais plats mexicains. Qu’un pauvre fast food. La carte ? N’espérez pas de soupe Pozole, pas de Torta Ahogada que des tortillas sous différentes formes. 
Mais quel arnaque cet endroit 🤮🤢"
3,avr. 2023,"1,0","Du fast food sous le thème mexicain. Des plats bien relevés et.. aucun alcool en vente (cherchez l'erreur), au Mexique vous avez la tequila, et surtout, la corona qui est très bonne pour accompagné les plats relevés.
La première fois la direction m'a informée qu'ils ne possédait pas encore la licence pour vendre de l'alcool. Seulement voilà, j'y retourne presque un an après et toujours de boissons avec alcool. Je me suis rendu compte que c'est un problème de conviction plutôt qu'un problème de licence.
Dernière fois pour moi."
4,juin 2023,"2,0","J'ai été enchantée durant les premiers temps mais j'ai été déçue plus récemment. Il y a quelques mois, le restaurant était fermé alors qu'on avait réservé en ligne. Et cette fois ci la quesilladas végétarienne manquait de goût et même de fraîcheur pour ma copine. Pour emporter le plat, il fallait payer la toute petite boîte à 1 euro...  A la rigueur 25 ou 50 centimes.... Néanmoins, le service à toujours souriant et poli. "
5,mai 2022,"3,0","Salade incomplète dans ses ingrédients donc 15e très cher pour de la salade du thon et 3 tomate cerise avec ses chips.
Plat bon mais très épicé sans prevenance par signe sur la carte
Pas d'apéritif que du soft même pas de despé !
Dessert classique pas mexicain.  Je n'ai pas voyager. 
Dommage"
6,janv. 2022,"5,0","Super déco, super cuisine et super ambiance ! L'équipe est aussi très sympa et très accueillante ! 

Un conseil : le tiramisu !"
7,nov. 2021,"5,0","Excellent mexicain à Lyon 8, je recommande : les produits sont frais, l'accueil est top, et l'ambiance est décontractée. Pour ma part j'ai pris un Burritos et je l'ai trouvé excellent !"
