,Date,Notes,Commentaires
28,oct. 2021,"3,0","Les burgers sont sympas, mais pas fous non plus, ça dépanne. La qualité ne reflète pas le prix. Malgré tout une des meilleures chaine de ce type."
29,nov. 2021,"2,0","Un endroit pour dépanner, ouvert le dimanche soir. 
Les burger étaient très moyens, ingredient de mauvaise qualité à l'intérieur.
Les potatoes corrects mais le cheddar en supplément pas fou.
Le cocktail Frida valait le coup en revanche. 
"
30,oct. 2021,"5,0","
Des équipes sympas à chaque fois...c est bon...c est pas très cher...on se sent bien. 
Sérieusement je viens d en tester 2 en 15 jours ( sans souci et croix rousse ) ...les 2 au top de A  a Z. 
Je vais y retourner souvent. 
Continuez comme ça.  et Merci . "
31,sept. 2021,"2,0",Service tres moyen et absolument pas accueillant!! Les serveurs ne sont pas sympathiques mais la nourriture/ boissons n’étaient pas mauvaises.
32,sept. 2021,"3,0",Viande pas ouf ... burgers bons mais pas dingues non plus ! Les bières allemandes ne sont pas incroyables ! Bref ça dépanne mais c’est pas fou du tout
33,août 2021,"2,0","Burger basique, sans garniture  même si bonne viande.
Potatoes grasses avec ""cerise sur ..."" 1.5  € en sup pour de la sauce en tube. Le tout servi sur des planches en bois  (un refuge aux microbes) Des tables en bois collantes, A Éviter."
34,mai 2021,"5,0","Que ce soit le choix de bières, les tapas ou l’amabilité des serveurs : cet endroit est vraiment top !! Merci pour ce moment Kaffee Berlin :)"
35,mars 2021,"4,0","Dommage que les frites ne soient pas maison, les sauces industrielles. par contre le service est cool"
36,févr. 2021,"3,0","Commande effectuée via service de livraison. Le cheese n'avait pas le goût du fromage et la sauce du Kentucky était insuffisante et mal placée (1tiers du burger n'avait pas de sauce)... C'est dommage les ingrédients sont de bonne qualité. Du coup le rapport qualité prix n'est pas bon, c'est trop cher pour un burger maison préparé de cette manière."
37,janv. 2021,"3,0","Commande pour un repas familiale en livraison deliveroo avec des burgers et des bagels. Un double Kentucky décevant avec 2 steacks beaucoup trop cuits et donc secs, sauce bbq quasi inexistante, 1 feuille de salade et trop peu d’oignons .... vraiment décevant. MAIS le reste de la commande apparemment bon, voir très bon. Je devrais donc faire une nouvelle tentative "
38,juil. 2020,"5,0","Je ne suis pas une fan des resto à burgers mais celui-ci est vraiment chouette : une carte avec un large choix : des burgers, mais aussi des bagels, des salades repas, des tapas, des bières originales, du vin et des cocktails. Et surtout un cadre et une ambiance sympathiques, en plus d'un service de qualité (le personnel est à l'écoute des clients et très flexible). Un bel endroit pour déjeuner, boire un verre ou diner en toute simplicité et partout dans Lyon !"
39,août 2020,"4,0","Un accueillant chaleureux, une ambiance conviviale et un service rapide. Les burgers sont consistant et les potatoes en accompagnement très bonnes. Les prix sont très abordables pour du fait maison et le choix des burgers relativement variés (bagels, salades, burgers, grill). Bon moment entre amies pour un dimanche soir. "
40,juil. 2020,"1,0",Déjà l’accueil d’une des serveuses est vraiment limite. Après niveau restauration. Moyen. Les potatoes granuleuses. Mais le summum reste le rosé piscine. Un pur scandale. 6€ pour un verre à vin normal rempli de glaçons et 3 gouttes de rosé ! On appelle clairement ça du vol ! Faudra leur expliquer le principe d’un rosé piscine !
41,mars 2020,"4,0","Souvent, lorsqu'on descend sur Lyon pour le travail, on loge cours Albert Thomas, et on a l'habitude de porendre l'apéro au Kaffee Berlin.
Le personnel est sympathique et accueillant.
Avec votre boisson, de préférence une bière berlinoise, vous pouvez déguster un curry wurst ou des potatoes, très bons!"
