,Date,Notes,Commentaires
27,févr. 2024,"3,0","Peu dans l’assiette et trop dans l’addition !
À entendre, les tables d’à côté partagées.
Gustativement c’est inégal, vous trouverez beaucoup mieux à Lyon. 
Passez votre tour"
28,févr. 2024,"5,0","Amazing and delicious refined dishes and wine. Original, mariage créatif entre mer et terre. Accueil chaleureux et convivial. Warmly recommended."
29,févr. 2024,"5,0","Excellente nourriture et excellent rapport qualité!
Service gentil et nourriture généreuse !
N’hésitez pas à y aller"
30,janv. 2024,"5,0","Parfait du début à la fin !! Service et cuisine au top . Allez y les yeux fermés ! 
On reviendra sans hésiter, merci à toute l’équipe pour votre accueil !"
31,févr. 2024,"5,0","Ambiance agréable, cosy et chaleureuse la Cuisine franco-italienne est excellente et raffinée bravo aux trois compères."
32,janv. 2024,"5,0","Super dîner, superbe ambiance! Les plats étaient aussi beaux que bons des entrées au dessert c’était impeccable ! 
Allez y les yeux fermés 
1000 mercis à toute l’équipe de Frazarin"
33,janv. 2024,"5,0","Tout simplement magnifique, une découverte à chaque plat, avec l'accord mets et vins c'est magique. L'acceuil est convivial. "
34,déc. 2023,"5,0","Déjeuner de collègues. Bon et bien servi. 
Top et rapide. 
Y aller sans hésiter 
Merci pour la pensée d anniversaire 🥳 "
35,déc. 2023,"5,0","Superbe, Bravo,  bravo  à toute l’équipe. 
3 fois cette semaine..j’aurais tout testé 3 entrées, 3 plats 2 desserts. Tout est superbe. 
Cuisine superbe, Conseil Vin idem, Service idem,  une très très belle équipe.
Je recommande ++++"
36,déc. 2023,"5,0","Un excellent petit restaurant aux accents franco italien ! C’était délicieux de l’entrée au dessert.  On s’est régalés ! Le service était parfait également, aux petits soins ! Une bien belle adresse où nous reviendrons sans hésiter !"
37,déc. 2023,"5,0","2eme visite après une première découverte convaincante il y a quelques semaines.
Un vrai plaisir d'entrer dans ce restaurant : accueil chaleureux et attentioné, carte limitée mais gage d'excellents plats du début à la fin à la présentation soignée et goûteux.
Les avis qui m'ont amené ici reflètent totalement la réalité. J'y retournerai."
38,déc. 2023,"5,0","Concept sympa, petit restau moderne et convivial 
Aux petits soins et plats juste excellent
De l entre au dessert ça reste créatif et bon 
À faire"
39,déc. 2023,"5,0","Une petite pépite 
Le personnel est très avenant et la cuisine de très grande qualité 
Un rapport qualité prix à faire pâlir la concurrence 
De l aile de raie au menu du midi pas banal mais une assurance de manger de l ultra frais
Très bien conseillé pour le vin 
Tout était parfait ne changez rien"
40,déc. 2023,"5,0","Super resto ! Une belle table à faire entre amis ou en famille. Dans l’assiette comme au service, rien à dire ! 
Petite carte, pour une cuisine fait maison. Des belles découvertes gustatives, un service au petit soin. Merci pour ce beau moment! "
41,nov. 2023,"5,0",Excellent accueil plats recherchés bien présentés carte des vins à l’unisson timing service parfait on reviendra avec plaisir
42,nov. 2023,"5,0","Superbe accueil. Le propriétaire a pris le temps de nous accueillir, nous conseiller. 
Petit plus pour nous en partant. Merci Patron
Je recommande vivement.,"
43,nov. 2023,"5,0","Très bon repas, et l’accueil au top. Nous avons passé un excellent moment. Je recommande. Accueil convivial, nous nous sommes sentis comme à la maison"
44,nov. 2023,"5,0","Repas de qualité avec des serveurs de bonne humeur une joie de vivre et aux grands sourires. Vous vous sentirez à l'aise. Je recommande vivement, pour un très bon rapport qualité prix "
45,nov. 2023,"5,0","Simple et parfait : un restaurant qui donne envie de revenir. Qualité de la cuisine, accueil, service excellent. Une de nos meilleures découvertes"
46,oct. 2023,"5,0","Cadre simple mais agréable. Personnel très aimable et efficace. Je n'avais pas faim. J'ai finalement dévoré entrée, plat et dessert ! Cuisine fine et savoureuse. Note spéciale pour la pavlova à la figue fraîche, incroyablement parfumée. Vin magnifique et à bonne température. Un dîner délicieux pour un prix raisonnable. Voilà des gens plein de talent, qui se donnent beaucoup de mal pour vous faire passer un moment parfait. Merci"
47,oct. 2023,"5,0","Une petite pépite pas du tout caché mais où il faut bien réserver. Les trois associés sont hyper accueillants, souriants et avenants malgré un service du samedi soir complet. Les conseils étaient parfaits et la cuisine incroyable! Ce concept franco-italien fonctionne parfaitement et notre table de 4 où nous avons pris œufs meurettes, cabillaud, pâtes fraîches et chou en dessert a 100% été satisfaite par l équilibre des plats et leurs saveurs! 
Merci pour cette belle soirée, on recommande à 1000%"
48,oct. 2023,"5,0","Pas de commentaires, mais juste vous dire que quand vous aurez passé la porte une 1ère fois, il y aura à coup sûr d' autres fois pour rencontrer à nouveau cette cuisine et ces personnes. Tout simplement magnifique !"
49,oct. 2023,"5,0","Excellent dîner en famille et très bon accueil.
La qualité des plats et le savoir faire est vraiment top."
50,oct. 2023,"4,0",Le mariage réussi de la France et de l’Italie. Nous nous sommes régalées. Le plat de poisson était particulièrement réussi.
51,sept. 2023,"5,0","Une équipe de 8 filles un soir en semaine…Un accueil personnalisé de Quentin et Maxence, suivi de mets délicieusement équilibrés préparés par  Harold. Nous ne regrettons qu une chose ; ne pas avoir pris le temps de féliciter Harold pour son travail en cuisine, et les saveurs dans les assiettes, des entrées aux desserts. Félicitations ! "
52,oct. 2023,"5,0","Restaurant exceptionnellement bon ! 
Petite carte mais tout le monde peut trouver son bonheur. Le personnel est a l écoute, agréable et très professionnel 
Nous recommandons sans hesitation cette adresse 
Tout est au rdv : très bonne cuisine, l equipe est accueillante et le prix est tout à fait abordable pour la qualité des plats, du personnel et du lieux 
C est rare ! Merci "
53,oct. 2023,"5,0","Très belle découverte par hasard après quelques recherches !

Un accueil chaleureux , une table cosy. Une carte courte et travaillée tout fait maison ! Une carte des vins étoffée ainsi qu’un joli panel de vins au verre.  Très bon dressage des assiettes, cuisson du lieu noir à la perfection ! 😍😍

Bref n’y allez pas pour m’assurer une place le midi avec les collègues 😘

Bravo à vous messieurs pour ce voyage en Italie depuis la France !"
54,juil. 2023,"5,0","Merci pour cette magnifique soirée, pour la qualité des plats, votre gentillesse.
Nos invités ont été comblés et nous aussi.
Merci pour votre sympathie et votre excellente cuisine."
55,juin 2023,"5,0","Excellent moment avec un accueil vraiment chaleureux. Plats très fins et fameux. Nous y reviendrons avec grand plaisir. Une belle découverte !!!!
Bravo et merci encore à toute l équipe 🤗"
56,mars 2023,"5,0","Une pépite du quartier. Une carte courte, mais sans cesse renouvelée, une ""vraie"" cuisine de cuisinier, à la fois simple et recherchée. Les pasta al ragu sont géniales, même une simple salade tomates anciennes / jambon est ""twisté"" avec créativité. Y aller les yeux fermés pour se régaler. "
57,mai 2023,"5,0","Venir au Frazarin c’est toujours l’assurance de ne jamais se lasser de la carte du restaurant, puisqu’elle est régulièrement renouvelée!
Toujours aussi bien, toujours aussi bon 🫶🏾!
Merci à toute l’équipe :)"
58,avr. 2023,"5,0","Une pépite ! Déjeuner récent chez Frazarin et tout était parfait. L'accueil est au top, les explications concernant la carte et les plats sont claires, la déco très agréable. Les plats sont savoureux et raffinés. Ce jour-là, une entrée à base de lentilles, velouté d'asperges et gambas, et en plat principal, un lieu jaune parfaitement cuit avec ses légumes et purée de fenouil. Un délice 😉 Nous reviendrons avec plaisir."
59,avr. 2023,"5,0","Repas le midi. Carte courte et efficace. 
Régal pour les yeux et surtout les papilles.
Et pour ne rien gâcher, l'accueil est très agréable et sympathique. 
Parfait sur tout les points. 
"
60,avr. 2023,"5,0",Une très belle découverte autant au niveau de l assiette que de l accueil ! Plats délicieux et bien travaillés et accueil très chaleureux 
61,mars 2023,"5,0","Excellente découverte franco-italienne!
Des plats travaillés, originaux et faits avec amour pour le plaisir des papilles!
Un service aux petits soins et des conseils sur les accords mets-vins plus qu’appréciés! 
Merci pour cette belle soirée ☺️✨"
62,mars 2023,"5,0","Le lieu est très agréable et la décoration est de bon très goût. 
Les plats sont tous fait maison et délicieux. 
Le personnel est adorable, de bon conseil et prévenant, une très bonne expérience dans un lieu fort sympathique. 

Merci pour cette belle soirée :)"
63,mars 2023,"4,0","Bonne découverte de cette table franco-italienne à 2 pas de perrache, à la fois généreux et fin. Bon conseil sur le vin associé au plat.
Seul bémol: un oubli sur la carte qu'un plat contenait un peu de piment. Quand on n'est pas prévenu, cela surprend ! Nous en avons fait la remarque, on nous a remercié de la remarque (la carte sera corrigé) et offert les 2 cafés.
Mis à part ce bémol, du tout bon, à prix très correct. On reviendra."
64,mars 2023,"5,0","Todo va bene frazarin! 
Super assiette! Un doux mélange franco italien digne des plus grand retour d Est! 
Les amoureux de l italofrancodisco seront émerveillés par cette cuisine du cœur servi par nos fraz à grand coeur!!!!"
65,mars 2023,"5,0","Très belle découverte suite à une erreur d'adresse. Carte limitée mais pertinente par rapport au désir du chef et de cuisiner frais les produits du moment. Menu 3 plats très bon rapport qualité en plus le personnel est sympa et savent partager leur passion. 
A y retourner juste pour découvrir leur menu changeant toute les semaines."
66,févr. 2023,"4,0","Enfin du savoir-faire au niveau du service. Equipe jeune, professionnelle pour une cuisine créative et excellente.
Cuisine inventive Les plats sont gouteux, les assaisonnements bien travaillés. Belle carte des vins  
A tres bientôt pour découvrir d’autres plats ( carte change toutes les 3 semaines )"
67,févr. 2023,"5,0","Nous avons apprécié l'accueil, l'originalité des mets et leur présentation. Le rapport qualité-prix est excellent."
68,févr. 2023,"5,0","Diner très sympathique chez Frazarin. Tout est fait maison et cela se sent dans l'assiette. Les plats sont gouteux, en quantité raisonnable, les assaisonnements bien travaillés. Le service est sympathique et bienveillant,, la salle est joliment décorée.
Mini bemol: ""seulement"" 2 plats à la carte, un de plus ce serait top. Merci encore pour cette soirée"
69,janv. 2023,"5,0","Cuisine italienne avec inspiration française 
Menu du midi très abordable et une carte qui change très régulièrement avec des plats délicieux et originaux différents d’un restaurant italien « classique »
Super expérience !"
70,janv. 2023,"5,0","Cela faisait un moment que nous souhaitions venir et on a compris qu’en fin de semaine il est indispensable de réserver à l’avance !
L’accueil et le service sont extrêmement agréables et de bon conseils.
Les plats sont faits avec goût et des produits de qualité que ce soit de l’entrée au dessert et avec une confiance aveugle pour le choix des vins"
71,janv. 2023,"5,0","Ne pas arriver trop tôt😉 mais quelle belle découverte, saveurs au rendez-vous et accueil chaleureux. Nous aimerions avoir un tel restaurant à côté de chez nous"
72,déc. 2022,"5,0","Grande découverte de ce restaurant entres amis à l’occasion d’un dîner. Une expérience  culinaire réussie, notamment le paleron de bœuf braisé cuit longuement et divinement fondant et savoureux.
Merci pour ce moment de partage! Je reviendrai
Merci"
73,déc. 2022,"5,0","Nous avions repéré Frazarin depuis quelques temps et lors de notre visite a Lyon, pour les Fetes des Lumières, la réservation était évidente.
La salle est très agréable et les tables pas trop proches, ce qui est un vrai plus.
Nous avons été recus chaleureusement par Quentin et Maxence qui nous ont présenté le restaurant et la cuisine gérée par Harold le milanais.
Les entrées et les plats étaient remplis des saveurs de saison,un vrai travail de présentation digne d'un gastro et le pain maison permets de tout saucer!
Le choix de vin et les conseils de Quentin ont pu sublimer le tout! 
Les desserts ont ravi les gourmands puis nous avons pu finir sur un choix de digestifs ravissants.
Ne loupez pas la Favorite et le foie gras maison, ce serait triste.
A bientot les Frazarins!"
74,déc. 2022,"5,0","Equipe jeune, motivée, professionnelle ,sympathique et accueillante pour une cuisine créative  et excellente. Bravo pour tout. 
Recommande sans restriction.
A tres bientot pour decouvrir d autres plats..."
75,déc. 2022,"5,0","Quelle belle (et bonne) adresse. L’équipe est au top, montre qu’elle est passionnée dans son domaine et cela se ressent dès la porte franchie. L’accueil est chaleureux, le cadre sympathique, les saveurs toujours au rendez-vous et les recettes créatives. Tout est mis en œuvre sans fioriture et avec spontanéité pour qu’on ait plus qu’une seule envie après avoir quitté les lieux : y revenir. 
Mon troisième « passage » dans cet établissement confirme mes premières impressions, que ce soit en couple, entre amis, en famille : 
on est bien chez Frazarin, et on y mange toujours aussi bien ! 
Bravo à vous et merci"
76,nov. 2022,"5,0","Une équipe jeune, motivée, professionnelle et sympathique nous accueille dans un restaurant avec une cuisine créative aux doubles origines française et italienne. Bravo du début à la fin. Très bons conseils au niveau du vin et de la nourriture."
77,oct. 2022,"5,0","Cuisine délicieuse et surprenante, une belle carte des vins et une équipe très sympa... Tout était parfait"
78,oct. 2022,"5,0","Un repas bistronomique en sortant de la gare 

Le magret de canard était excellent et la charcuterie en entrée m’a rappelé mes vacances en toscane 

Bref une très belle découverte pour un petit séjour à Lyon 

Et en plus accueil très sympas et chaleureux on a envie de revenir"
79,oct. 2022,"4,0","Tres belle decouverte, ambiance chaleureuse et produits de qualité . Pates al dente , buonissimo. La charcuterie excellente , et les desserts nous embarquent: la glace verveine, et le flan chocolat … tres bon…"
80,oct. 2022,"5,0","Très bon restaurant. Cadre sympathique, personnel souriant et chaleureux. Repas excellent, rien à redire. Je recommande !"
81,sept. 2022,"5,0","C'est proverbial, la cuisne du Capocuoco et de son équipe est toujours maitrisée, savoureuse et équilibrée. Je me suis régalé lors de la semaine ou la figue était à l'honneur.
Les Maggiordomo toujours aussi accueillants, sympathiques et accessibles.
C'est agréable d'y partager un repas et même y boire un verre. l'ensemble de l'équipe à toujours du temps à accorder pour leurs clients, c'est très appréciable.
Merci à vous."
82,oct. 2022,"5,0","Accueil avec le sourire par tout le personnel. Ca fais du bien 
Formule plat dessert et j'ai suivi les recommandations de Maxence  - excellent choix  un délice.
La salle est grande  avec tables individuelles séparées.
A 2 pas de la place Carnot et Lyon Perrache.
Vraiment a recommander  les yeux fermés. "
83,sept. 2022,"5,0","Quel régal de découvrir ce restaurant.
Le repas était un régal , les serveurs ( ou patrons)  très sympathiques et très attentionnés…… et tout ça pour le même prix que mes repas passés dans la semaine. Pas évident de manger seul ( lors des déplacements) mais le plaisir que j ai eu ce soir ( repas et convivialité) m a fait passer un très bon moment….. merci beaucoup…. Je conseille fortement."
84,sept. 2022,"5,0","Super restaurant avec une cuisine très raffiné et des produit frais. 
Le cadre ainsi que les serveurs nous font sentir comme à la maison. 
Je recommande les yeux fermer."
85,juil. 2022,"4,0","Un plaisir de manger et déguster mon plat préféré,  la salle est toujours bien tenue et la serveuse au petits soins pour notre table ."
86,juil. 2022,"5,0","Du service aux plats, nous avons adoré. Une connaissance remarquable et remarquée des produits qui vous sont proposés, impossible de ne pas y trouver son bonheur."
87,juil. 2022,"5,0","Ambiance et accueil extrêmement chaleureux. Carte réduite mais composée uniquement avec des produits frais de saison. Cuisine inventive avec des produits pourtant ""simples"". Très belle carte des vins. À faire absolument !"
88,juil. 2022,"5,0","Enfin du savoir-faire au niveau du service. 
Accueil chaleureux.  
Avant de déguster, on ressent beaucoup de compétence et la connaissance des produits proposés est là. 
Pas de chichi, le cadre est épuré et valorise ce que l’on a dans l’assiette, c’est à dire un subtil mélange Franco-Italien et ça, c’est annoncé avant de rentrer dans le resto : PROMESSE TENUE !

Bravo au chef, la cuisine est raffinée et authentique à la fois, les quantités impeccables. 
Les garçons de salle gèrent le reste avec bienveillance et professionnalisme. 

Je n’oublierai pas la grande variété de vins français et italiens à découvrir. 
Bref on reste dans le top !

C’est un coup de coeur. 
Avis dithyrembique mais amplement mérité.

Allez-y et régalez vous"
89,juin 2022,"5,0","Restaurant essayé pour un dîner vendredi soir, la salle est agréable, l'accueil excellent ! 
Le menu et l'histoire du restaurant sont détaillés avec beaucoup de passion par l'équipe. 
Les plats, cocktails et vins sont originaux, bien dosés et délicieux. Un restaurant où on se sent bien, et où on a envie de revenir, la carte change toutes les 3 semaines !!"
90,juin 2022,"5,0","Super resto. Nous sommes venus en groupe pour un déjeuner et n'avons pas été déçus ! 
Produits frais cuisine raffinée
Je recommande +++"
91,juin 2022,"5,0","Nous avons passés une excellente soirée entre amis.
Les mets sont délicieux et l’équipe très sympa!
Nous y retournerons régulièrement pour tester le menu qui change régulièrement!"
92,juin 2022,"5,0","Tout simplement, le plus beau des Joyaux au pays de la Soie ! Merci à toute l'équipe en cuisine et en salle de nous avoir aussi chaleureusement accueilli.
Très touché par l'attention d'Harold, le Chef en cuisine, d'avoir réfléchi et conçu un menu sur-mesure pour mon amie qui est poly-allergique ! L'excellente nouvelle, c'est qu'au sein du Frazarin tout est possible pour le client si l'on a la délicatesse de prévenir en amont. Je recommande sans aucune réserve 
A bientôt !"
