,Date,Notes,Commentaires
0,mars 2024,"4,0","Expérience sympathique dans ce bar à jeux. Nous sommes allés entre amis et nous nous sommes bien amusés. Un grand panel de jeux de société dispos, concept également de salle de défis qui apporte de la nouveauté. Conseil de réserver ! 
Possibilité de manger et boire sur place, malheureusement nous n'avons vu nul part et n'avons pas été prévenu qu'il n'y avait pas possibilité de manger au-delà de 22h...Nous le saurons cependant pour une prochaine fois ! "
1,oct. 2023,"4,0","Concept très sympa qui a l'air de cartonner. Très bon accueil, les défis sont une bonne idée. Ils expliquent bien les règles, ils savent ce qu'ils font. Le seul défaut fut le bruit, mais compliqué pour eux de gérer ça. "
2,sept. 2022,"5,0","J'ai découvert cet établissement via un team building de mon équipe. Le concept est une partie bar/restaurant, un sous sol avec des jeux d'équipe et un étage avec des jeux de société. L'accueil est parfais et l'organisation des jeux s'est bien déroulé. La cuisine est originale. C'est un mélange de saveurs venu d'un peu partout dans le monde. Les prix sont corrects. Un bon lieu pour passer un moment entre amis, en famille ou entre collègues."
