,Date,Notes,Commentaires
24,nov. 2023,"5,0","Très belle adresse à faire et à refaire
Un accueil des plus sympathiques
Une cuisine toute en subtilité et parfaitement maîtrisée 
Ne changez rien
"
25,oct. 2023,"5,0",Une cuisine inventive et délicieuse. Le service est souriant et très à l écoute. Le tout est très abordable le midi...
26,août 2023,"5,0",Accueil chaleureux ! Cuisine raffinée et savoureuse. Service impeccable. Une adresse à découvrir sans hésitation…merci
27,août 2023,"5,0","Tres belle expérience culinaire un soir d’été en août 
Les desserts sont originaux et délicieux.
Bravo "
28,août 2023,"5,0","Une cuisine fort bien réalisée que ce soit gustativement ou visuellement ! Les produits sont simples mais très bien travaillés et les mariages de saveurs maîtrisés. Peut-être qu'une touche d'originalité supplémentaire, sans tomber dans l'excès de certains restaurants, ajouterait un petit plus.
Dans tous les cas, une valeur sûre où l'on se régale et pour un des meilleurs rapport qualité/prix de Lyon. Du coup cela se mérite, ce qui explique les délais pour avoir une réservation ... bravo aux 2 personnes qui officient dans cet établissement."
29,août 2023,"5,0","Quelle belle découverte ! Tout était absolument délicieux,  original et soigné.
Service aimable et efficace.
Nous y reviendrons avec grand plaisir. 
"
30,août 2023,"5,0",Merveilleux en salle et en cuisine! De l'entrée au dessert tout était parfait! Un service simple et sans fausse note! Bravo à toute l'équipe 
31,juin 2023,"5,0","Restaurant un peu atypique 1 serveur et 1 cuisinier seulement qui produisent quelque chose d assez incroyable! 

Très belle recherche gastronomique avec de l’originalité et une capacité à revisiter certains aliments plus classiques ( la tomate sur un entremet, le melon sur un dessert succulent). 
La réalisation le dressage et la qualité des plats sont clairement au rdv. 
Tout en restant un restau cool, avec petit fond musical. Et service agréable et accessible

Ce restaurant ne cherche pas à mon sens, aujourd’hui à etre étoilé. Il n’en a pas forcément tous les codes, mais pour autant dans l assiette on s’en rapproche clairement….

Une très belle découverte en tout cas."
32,mai 2023,"5,0",C’est une très belle découverte! Les plats sont très intéressantes et très très bonnes!. Le gérant est super sympa. Nous nous sommes régalés 😊je recommande vivement 
33,mai 2023,"5,0",Nous avons les 4 absolument été enchanté par chaque plat!! Merci 👍 au chef et à l’équipe (réduite mais  efficace) en salle
34,mars 2023,"5,0","Mais quel délice, des plats inventif et savoureux ! 
L’équipe est adorable et a l’écoute du client je suis ravie de mon expérience
Ce restaurant mérite tous ces commentaires élogieux"
35,déc. 2022,"5,0","Inventif, savoureux et original!
Des amuses bouches au dessert, tout est très recherché, soigné, créatif et original!
Nous avons adoré, mention spéciale au « fromage » qui n’est pas une tranche mais ultra travaillé et que j’ai ADORÉ!

La personne qui sert  est vraiment agréable, ils se souviennent de vous d’une fois à l’autre. 

Mérite amplement une étoile !

Seule déception : il fait vraiment anticiper sa réservation car toujours plein :-)"
36,avr. 2023,"5,0","Le lieu ne paie pas de mine. Carte et menus, épurés au maximum, ne laissent rien présager d'extraordinaire. Pour autant, il vous faudra attendre 3 mois avant d'obtenir une table. La recette, magique : associer savamment les saveurs et porter le goût de chaque produit à son apogée. Le meilleur rapport qualité-prix de la place de Lyon. Tout simplement."
37,mars 2023,"5,0","Après avoir eu l’eau à la bouche en attendant de trouver un créneau disponible pour tout le monde, nous avons été récompensés de notre attente. C’est parfait, des plats magnifiques, des accords originaux, beaucoup de découvertes dans les différentes associations, un accueil et un service très sympathique. Nous espérons trouver rapidement un autre rendez-vous pour d’autres surprises, les menus changeant chaque semaine.
Un grand merci pour ce bon moment."
38,août 2022,"5,0","L’un des meilleurs restaurants auquel j’ai mangé.
De plus les tarifs sont très raisonnable.
Vous pouvez y aller les yeux fermée."
